275    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
276    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
277    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
278    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
279    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
280    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
281    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
282    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
283    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
284    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
285    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
286    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
287    0.94545623527015976 0.055645324371308806 0.044558323496079445  0         -1 -1 0.94284522533416748 
288    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
289    0.94545623527015976 0.055605379992357901 0.080879931424325424  0         -1 -1 0.85276007652282715 
290    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
291    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
292    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
293    0.94545623527015976 0.47091566620631509 0.71159999550149222  0         -1 -0.53274309635162354 -0.40579873323440552 
294    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
295    0.94545623527015976 0.05547459539793527 0.41435213345693928  0         -1 -1 0.16236615180969238 
296    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
297    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
298    0.94545623527015976 0.055553322797086545 0.15276759020533281  0         -1 -1 0.68768680095672607 
299    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
300    0.94545623527015976 0.23161019828045026 0.02272003256331024  0         -1 -0.80088174343109131 1 
301    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
302    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
303    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
304    0.94545623527015976 0.055599226905785525 0.087981383132178237  0         -1 -1 0.83592188358306885 
305    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
306    0.94545623527015976 0.055602466779186219 0.084212561789943213  0         -1 -1 0.8448176383972168 
307    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
308    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
309    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
310    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
311    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
312    0 0 0  0         -0.61901062726974487 -1 1 
313    0.94545623527015976 0.28948051344408132 0.022720032563304862  0         -1 -0.73615312576293945 1 
314    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
315    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
316    0.94545623527015976 0.64184036121865407 0.022720032563284857  0         -1 -0.34175854921340942 1 
317    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
318    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
319    0.77905940986274758 0.25189294624082337 0.02272003256329376  0         -0.62396407127380371 -0.59030234813690186 1 
320    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
321    0.94545623527015976 0.055511622737542191 0.75535866113817918  0         -1 -1 -0.49424171447753906 
322    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
323    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
324    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
325    0.94545623527015976 0.059964025455052847 0.1241240723289319  0         -1 -0.99464255571365356 0.7519378662109375 
326    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
327    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
328    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
329    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
330    0.94545623527015976 0.055563491647229381 0.13609640671370823  0         -1 -1 0.72489666938781738 
331    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
332    0.94545623527015976 0.53540367974116698 0.022720032563288327  0         -1 -0.46050345897674561 1 
333    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
334    0 0 0  0         -0.96744710206985474 -1 1 
335    0.94545623527015976 0.055472126281478608 0.44334394275152417  0         -1 -1 0.10663723945617676 
