39    0.054543764729840516 0.31078231915129123 0.84221893252977975  0         1 0.28909170627593994 -0.67682260274887085 
40    0.13351198761845789 0.22040765305203966 0.60139767964939361  0         0.82117044925689697 0.097759485244750977 -0.19207650423049927 
41    0.94545623527015943 0.67764386559210954 0.44017509009660383  0         -1 -0.30223214626312256 0.11328494548797607 
42    0.57889063113837824 0.73434606345330633 0.57828115083033471  0         -0.17586684226989746 0.17379283905029297 -0.14756870269775391 
43    0.41618085518287257 0.45647664664323573 0.20305366329545235  0         0.1871185302734375 0.045094728469848633 0.57988882064819336 
44    0.90007738811106486 0.70740331958331659 0.027618062557615137  0         -0.89664292335510254 -0.21669489145278931 0.98691999912261963 
45    0.94545623527015943 0.65079658574932042 0.92573556452042804  0         -1 -0.33185040950775146 -0.86928653717041016 
46    0.90184284750190036 0.16797074264797471 0.70201222120804174  0         -0.90089249610900879 -0.82332128286361694 -0.38656622171401978 
47    0.57889063113837824 0.5188928241952091 0.57828115083033471  0         -0.17586684226989746 -0.06686091423034668 -0.14756870269775391 
48    0.13351198761845789 0.22040765305203966 0.60139767964939361  0         0.82117044925689697 0.097759485244750977 -0.19207650423049927 
49    0.5703768901819849 0.78903262633110638 0.23681017421084596  0         -0.15673232078552246 0.24537765979766846 0.50991284847259521 
50    0.60532050890729994 0.59367688139112951 0.21982607954711936  0         -0.23455846309661865 -0.013439178466796875 0.54460930824279785 
51    0.72335962682802979 0.385197125642746 0.21886183235696971  0         -0.49852865934371948 -0.37769019603729248 0.54696536064147949 
52    0.46458323563521803 0.05636052460623181 0.82795385826715018  0         0.079376339912414551 -0.4593275785446167 -0.64628076553344727 
53    0.054543764729840516 0.88366028919468087 0.1158000900033125  0         1 0.93145573139190674 0.77074956893920898 
54    0.054543764729840516 0.067755495595714074 0.29041463939205592  0         1 0.015038847923278809 0.40208244323730469 
55    0.90184284750190036 0.16797074264797471 0.70201222120804174  0         -0.90089249610900879 -0.82332128286361694 -0.38656622171401978 
56    0.60532050890729994 0.53100984096011361 0.21982607954711947  0         -0.23455846309661865 -0.082960665225982666 0.54460930824279785 
57    0.94545623527015943 0.67764386559210954 0.44017509009660383  0         -1 -0.30223214626312256 0.11328494548797607 
58    0.82749358889726321 0.57512498450783989 0.5174919872569369  0         -0.73342299461364746 -0.28336155414581299 -0.033002257347106934 
59    0.94545623527015943 0.055483172454832745 0.35379481258162604  0         -1 -1 0.27845323085784912 
60    0.20804103768439544 0.063085456978482765 0.72813922649829121  0         0.65288496017456055 -0.16420638561248779 -0.43861067295074463 
61    0.72335962682802979 0.38522698353224177 0.041826376696170973  0         -0.49852865934371948 -0.37769019603729248 0.9501035213470459 
62    0.46099706067457435 0.51384430788414381 0.19168148276045097  0         0.087466239929199219 0.058842778205871582 0.60437464714050293 
63    0.94545623527015943 0.94013979836274331 0.76416582468556327  0         -1 -0.0056288838386535645 -0.51247513294219971 
64    0.85940591475430739 0.2443011073623684 0.64102538447734292  0         -0.80468690395355225 -0.6890636682510376 -0.26824569702148438 
65    0.054543764729840516 0.067738306936277609 0.62595591354955171  0         1 0.015038847923278809 -0.23893207311630249 
66    0.77015786986281465 0.35980863401732155 0.97727996749278268  0         -0.60355997085571289 -0.4593275785446167 -1 
67    0.49372336758232971 0.65393489498343538 0.3419160127840567  0         0.014083385467529297 0.17869687080383301 0.30147576332092285 
68    0.94545623527015943 0.94013979836274331 0.76416582468556327  0         -1 -0.0056288838386535645 -0.51247513294219971 
69    0.20804103768439544 0.063085456978482765 0.72813922649829121  0         0.65288496017456055 -0.16420638561248779 -0.43861067295074463 
70    0.054543764729840516 0.94442296070387144 0.11580009000331717  0         1 1 0.77074956893920898 
71    0.054543764729840516 0.94440077309421422 0.087981383132178237  0         1 1 0.83610105514526367 
