36    0.41125273251443178 0.35764040336273412 0.029135078784438738  0         0.19759941101074219 -0.060289859771728516 0.98327898979187012 
37    0.20848569465526287 0.30914601041203926 0.23681017421084544  0         0.65177333354949951 0.11334967613220215 0.50992536544799805 
38    0.17295011346526179 0.66698266074307766 0.20067562466606054  0         0.73224830627441406 0.55306172370910645 0.58503568172454834 
39    0.40587707165367398 0.33434842921312696 0.29293583927295402  0         0.2104872465133667 -0.079877674579620361 0.39724934101104736 
40    0.33828784002531304 0.47251172926880014 0.33214182579295781  0         0.3613046407699585 0.15035271644592285 0.31997227668762207 
41    0.61830650501792528 0.48936538389430756 0.12192536049079554  0         -0.26441550254821777 -0.14419233798980713 0.75658762454986572 
42    0.52196790221121758 0.058115006081221887 0.36988013275288506  0         -0.048937022686004639 -0.52106845378875732 0.24701642990112305 
43    0.25122256260318848 0.61341317653436889 0.074675945365008295  0         0.55590677261352539 0.40527904033660889 0.86821746826171875 
44    0.095509428521234341 0.24350273609336068 0.31780650906899066  0         0.90743553638458252 0.16701483726501465 0.34809386730194092 
45    0.20848569465526287 0.14199261533939037 0.52490996197086526  0         0.65177333354949951 -0.075476884841918945 -0.046560049057006836 
46    0.52196790221121758 0.058315277992846498 0.97727996749278234  0         -0.048937022686004639 -0.52106845378875732 -1 
47    0.17295011346526179 0.66698266074307766 0.20067562466606054  0         0.73224830627441406 0.55306172370910645 0.58503568172454834 
48    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
49    0.67646644850562154 0.46794420714505702 0.88419990999692355  0         -0.39433413743972778 -0.2333185076713562 -0.77118855714797974 
50    0.48475684387070472 0.75115000524962616 0.25399311537784491  0         0.033762454986572266 0.29828333854675293 0.47524333000183105 
51    0.52196790221121758 0.058315277992846498 0.97727996749278234  0         -0.048937022686004639 -0.52106845378875732 -1 
52    0.17295011346526179 0.66698266074307766 0.20067562466606054  0         0.73224830627441406 0.55306172370910645 0.58503568172454834 
53    0.054543764729840516 0.94441599967993151 0.89373121196615035  0         1 1 -0.7929651141166687 
54    0.67646644850562154 0.46794420714505702 0.88419990999692355  0         -0.39433413743972778 -0.2333185076713562 -0.77118855714797974 
55    0.21426725176603592 0.71830753169984574 0.90526778528104057  0         0.63860607147216797 0.56429135799407959 -0.82027745246887207 
