45    0.58919525845376641 0.78107545108396093 0.63739432789007233  0         0.1986081600189209 -0.21505165100097656 -0.26128160953521729 
46    0.58919525845376641 0.78107583409197179 0.63375911885761504  0         0.1986081600189209 -0.21505165100097656 -0.25444018840789795 
47    0.28110261319507041 0.6710870549976069 0.07880543069336364  0         -0.48909950256347656 -0.4356924295425415 0.857582688331604 
48    0.90316677943538903 0.25109207400192435 0.91870439187827169  0         0.9038846492767334 0.73105812072753906 -0.85228621959686279 
49    0.51838139097133051 0.17297277317111737 0.92737897556973448  0         0.041385173797607422 0.38661813735961914 -0.87322545051574707 
50    0.43051935211066539 0.83503210240233061 0.72063972429638978  0         -0.1553540825843811 -0.45301711559295654 -0.42404592037200928 
51    0.322639584072902 0.11119783099856206 0.33728161362944786  0         -0.39578461647033691 0.23750662803649902 0.30994319915771484 
52    0.43320814272449509 0.16489481677107529 0.90399484809343611  0         -0.14927637577056885 0.30132079124450684 -0.81746149063110352 
53    0.53720986332156051 0.54974303790030499 0.76806327878467096  0         0.082948088645935059 -0.013958334922790527 -0.52049440145492554 
54    0.58381914481712738 0.53994401092826783 0.68372431443254378  0         0.18681478500366211 0.048617124557495117 -0.35142028331756592 
55    0.94545623527015976 0.76932716043582117 0.97727996749278345  0         1 0.19916617870330811 -1 
56    0.63352655025492766 0.1912702244853377 0.92737897556973403  0         0.29806721210479736 0.49451804161071777 -0.87322545051574707 
57    0.60890321162512107 0.26280592559735294 0.92737897556973448  0         0.24282217025756836 0.38661813735961914 -0.87322545051574707 
58    0.36960652428384849 0.6363386250655656 0.91953548677385022  0         -0.29075396060943604 -0.29757207632064819 -0.85402613878250122 
59    0.90316677943538903 0.25109207400192435 0.91870439187827169  0         0.9038846492767334 0.73105812072753906 -0.85228621959686279 
60    0.55693219362867452 0.075812889802231248 0.85357567038597115  0         0.12670421600341797 0.54041194915771484 -0.70231813192367554 
61    0.43320814272449509 0.1649252096093238 0.94557294026452177  0         -0.14927637577056885 0.30132079124450684 -0.91816288232803345 
62    0.090656728622233396 0.41270607025417583 0.65705304002332576  0         -0.91811650991439819 -0.36195451021194458 -0.29904395341873169 
