80    0.94545623527015976 0.05548499911398961 0.65602170535415305  0         -1 -1 -0.296794593334198 
81    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
82    0.94545623527015976 0.66510462856147112 0.87013223676055873  0         -1 -0.31614440679550171 -0.73871314525604248 
83    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
84    0.94545623527015976 0.055478677882198416 0.61865712952725216  0         -1 -1 -0.22546499967575073 
85    0.94545623527015976 0.055470408282809296 0.48197807665502318  0         -1 -1 0.033679008483886719 
86    0.94545623527015976 0.055474595397934055 0.58564786654221446  0         -1 -1 -0.16231775283813477 
87    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
88    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
89    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
90    0.6200973853579318 0.78675653488716757 0.97727996749278345  0         -0.26809000968933105 0.18723630905151367 -1 
91    0.94545623527015976 0.39392133481476632 0.3965064074102066  0         -1 -0.61909669637680054 0.19620275497436523 
92    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
93    0 0 0  0         -0.45466333627700806 -0.73447352647781372 -0.076372087001800537 
94    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
95    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
96    0.94545623527015976 0.39392133481476632 0.3965064074102066  0         -1 -0.61909669637680054 0.19620275497436523 
97    0.10257126336201568 0.5654054867384023 0.44968535173585039  0         0.89086675643920898 0.51880145072937012 0.095321416854858398 
98    0.94545623527015976 0.19239149662059549 0.59772743660854544  0         -1 -0.84535443782806396 -0.18546479940414429 
99    0.89698724099907934 0.12775432461939076 0.8571812485564293  0         -0.89044678211212158 -0.86300188302993774 -0.71035075187683105 
100    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
101    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
102    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
103    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
104    0.94545623527015976 0.39392133481476632 0.3965064074102066  0         -1 -0.61909669637680054 0.19620275497436523 
105    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
106    0.94545623527015976 0.055495680948077351 0.29697638411093641  0         -1 -1 0.38889861106872559 
107    0.94545623527015976 0.0554847998961778 0.65498998575207201  0         -1 -1 -0.2950056791305542 
108    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
109    0.093744590864130201 0.26493979581880428 0.93431622388948854  0         0.91105353832244873 0.19253015518188477 -0.88969701528549194 
110    0.94545623527015976 0.055480674400392706 0.63168003446604093  0         -1 -1 -0.24999606609344482 
111    0 0 0  0         0.41073250770568848 -0.31466072797775269 1 
112    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
113    0.94545623527015976 0.055470311470104915 0.51272211619498498  0         -1 -1 -0.023759961128234863 
114    0.94545623527015976 0.56761755744076292 0.022720032563287113  0         -1 -0.42461478710174561 1 
115    0.94545623527015976 0.10301476443944856 0.59772743660854621  0         -1 -0.94644582271575928 -0.18546479940414429 
116    0.38214122651294791 0.67748717173234252 0.30254518649242451  0         0.26304495334625244 0.32975673675537109 0.37822389602661133 
117    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
118    0.94545623527015976 0.61239008237270476 0.59772743660854388  0         -1 -0.37515866756439209 -0.18546479940414429 
119    0.78929085225138773 0.17935860713880186 0.54026516877992603  0         -0.64739072322845459 -0.68266856670379639 -0.076372087001800537 
120    0.94545623527015976 0.56761755744076292 0.022720032563287113  0         -1 -0.42461478710174561 1 
121    0.94545623527015976 0.39392133481476632 0.3965064074102066  0         -1 -0.61909669637680054 0.19620275497436523 
122    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
123    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
124    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
125    0.94545623527015976 0.11095579996655969 0.59772743660854644  0         -1 -0.93743407726287842 -0.18546479940414429 
126    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
127    0.81240073742245411 0.79728833376384833 0.72714109947122241  0         -0.69902920722961426 -0.016930639743804932 -0.43746364116668701 
128    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
129    0.093744590864130201 0.26493979581880428 0.93431622388948854  0         0.91105353832244873 0.19253015518188477 -0.88969701528549194 
130    0.093744590864130201 0.26493979581880428 0.93431622388948854  0         0.91105353832244873 0.19253015518188477 -0.88969701528549194 
131    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
132    0.94545623527015976 0.56761755744076292 0.022720032563287113  0         -1 -0.42461478710174561 1 
133    0.94545623527015976 0.055470311470105206 0.48727788380415965  0         -1 -1 0.023646712303161621 
134    0.94545623527015976 0.055474276994966987 0.41750808139665363  0         -1 -1 0.1564791202545166 
135    0.94545623527015976 0.055476634339348088 0.39650640741021703  0         -1 -1 0.19620275497436523 
136    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
137    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
138    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
139    0 0 0  0         -0.93592095375061035 -1 -0.18546479940414429 
140    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
141    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
142    0.21515688827230031 0.6701597648062485 0.24316988683686355  0         0.63692569732666016 0.50875306129455566 0.49669027328491211 
143    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
144    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
145    0.94545623527015976 0.055475682895363261 0.59562882164655062  0         -1 -1 -0.18119001388549805 
146    0.095509428521234396 0.63161525067200508 0.60715897018055986  0         0.90747082233428955 0.60114562511444092 -0.2028651237487793 
147    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
148    0.94545623527015976 0.56761755744076292 0.022720032563287113  0         -1 -0.42461478710174561 1 
149    0.94545623527015976 0.055470263564301459 0.4909882351501097  0         -1 -1 0.017049789428710938 
150    0.94545623527015976 0.055470311470104915 0.51272211619498498  0         -1 -1 -0.023759961128234863 
